Group,Subgroup,Week,Time Period Label,Time Period Start Date,Time Period End Date,Value
,"Non-Hispanic Black, single race",3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,44.7
,"Non-Hispanic Asian, single race",3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,36.5
,"Non-Hispanic, other races and multiple races",3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,50.6
,Less than a high school diploma,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,41.1
,High school diploma or GED,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,39.7
,Some college/Associates degree,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,47.2
,Bachelors degree or higher,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,48.1
,18 - 29 years,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,38.5
,30 - 39 years,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,43.9
,40 - 49 years,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,47.2
,50 - 59 years,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,49.8
,60 - 69 years,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,46.9
,70 - 79 years,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,41.8
,80 years and above,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,45
,Male,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,41.3
,Female,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,48.3
,Hispanic or Latino,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,43.4
,"Non-Hispanic White, single race",4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,45.8
,"Non-Hispanic Black, single race",4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,42.7
,"Non-Hispanic Asian, single race",4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,38.4
,"Non-Hispanic, other races and multiple races",4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,52
,Less than a high school diploma,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,45.9
,High school diploma or GED,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,41.2
,Some college/Associates degree,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,45.7
,Bachelors degree or higher,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,47.5
,18 - 29 years,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,39.6
,30 - 39 years,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,45.9
,40 - 49 years,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,47.4
,50 - 59 years,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,49.9
,60 - 69 years,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,46.9
,70 - 79 years,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,42.3
,80 years and above,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,40.3
,Male,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,41.2
,Female,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,49.6
,Hispanic or Latino,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,42.8
,"Non-Hispanic White, single race",5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,46.4
,"Non-Hispanic Black, single race",5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,43.3
,"Non-Hispanic Asian, single race",5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,41.1
,"Non-Hispanic, other races and multiple races",5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,54.3
,Less than a high school diploma,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,42.1
,High school diploma or GED,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,40.9
,Some college/Associates degree,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,48.3
